name,category,rarity,value,capacity,how_to_get,icon
Bitterbug,Insects,1,2,10,Catch in most areas,https://static.wikia.nocookie.net/monsterhunter/images/d/db/MH4G-Bug_Icon_Blue.png
Flashbug,Insects,2,48,10,Catch in most areas,https://static.wikia.nocookie.net/monsterhunter/images/3/37/MH4G-Bug_Icon_Yellow.png
Thunderbug,Insects,4,150,99,Catch in most areas,https://static.wikia.nocookie.net/monsterhunter/images/3/37/MH4G-Bug_Icon_Yellow.png
Stinkhopper,Insects,1,6,99,"Catch in Dunes, Deserted Island, Ancestral Steppe, Primal Forest, Frozen Seaway, Jungle, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/a/ae/MH4G-Bug_Icon_Red.png
Snakebee Larva,Insects,1,30,99,Search beehives in most areas,https://static.wikia.nocookie.net/monsterhunter/images/2/28/MH4G-Bug_Icon_Orange.png
Carpenterbug,Insects,1,120,99,Catch in most areas,https://static.wikia.nocookie.net/monsterhunter/images/a/a0/MH4G-Bug_Icon_Grey.png
Shiny Beetle,Insects,4,200,99,"Catch in Verdant Hills, Arctic Ridge, Dunes, Marshlands, Volcano, Primal Forest, Frozen Seaway, Desert, Jungle, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/6/6d/MH4G-Bug_Icon_Green.png
Hercudrome,Insects,4,540,99,Catch in Low-rank Volcano and most High-rank areas,https://static.wikia.nocookie.net/monsterhunter/images/a/ae/MH4G-Bug_Icon_Red.png
Fulgurbug,Insects,4,350,99,Catch from Zinogre,https://static.wikia.nocookie.net/monsterhunter/images/d/db/MH4G-Bug_Icon_Blue.png
King Scarab,Insects,6,800,99,Catch in most High-rank areas,https://static.wikia.nocookie.net/monsterhunter/images/b/b6/MH4G-Bug_Icon_Purple.png
Rare Scarab,Insects,6,1000,99,"Catch in High-rank Deserted Island, Marshlands, Volcano, Volcanic Hollow, Frozen Seaway, and Jungle or most G-rank areas",https://static.wikia.nocookie.net/monsterhunter/images/3/37/MH4G-Bug_Icon_Yellow.png
Blossom Cricket,Insects,4,180,99,"Reward from Village Quest ""Jurassic Treasure: The Bug""",https://static.wikia.nocookie.net/monsterhunter/images/4/4c/MH4G-Bug_Icon_Pink.png
Great Hornfly,Insects,5,60,99,By-product of trade with Moga Bee Yard,https://static.wikia.nocookie.net/monsterhunter/images/b/b6/MH4G-Bug_Icon_Purple.png
Butterfly Beetle,Insects,5,220,99,By-product of trade with Moga Bee Yard,https://static.wikia.nocookie.net/monsterhunter/images/a/a0/MH4G-Bug_Icon_Grey.png
Great Ladybug,Insects,5,60,99,"Reward from Hub Quest ""The New Tenant"" (5★)",https://static.wikia.nocookie.net/monsterhunter/images/a/ae/MH4G-Bug_Icon_Red.png
Emperor Hopper,Insects,8,1200,99,Catch in most G-rank areas,https://static.wikia.nocookie.net/monsterhunter/images/0/0f/MH4G-Bug_Icon_Brown.png
Flutterfly,Insects,8,1800,99,"Catch in G-rank Deserted Island, Marshlands, Volcano, and Jungle",https://static.wikia.nocookie.net/monsterhunter/images/d/d3/MH4G-Bug_Icon_White.png
Stygian Worm,Insects,8,2000,99,Catch in G-rank Jungle,https://static.wikia.nocookie.net/monsterhunter/images/5/5b/FourthGen-Bug_Icon_Dark_Purple.png
Toxic Kumori,Insects,4,480,99,Send Meownster Hunters to Rare Spots in the Low-rank Tundra,https://static.wikia.nocookie.net/monsterhunter/images/3/37/MH4G-Bug_Icon_Yellow.png
Large Toxic Kumori,Insects,6,960,99,Send Meownster Hunters to Rare Spots in the High-rank Tundra,https://static.wikia.nocookie.net/monsterhunter/images/3/37/MH4G-Bug_Icon_Yellow.png
Lethal Kumori,Insects,8,1920,99,Send Meownster Hunters to Rare Spots in the G-rank Tundra,https://static.wikia.nocookie.net/monsterhunter/images/3/37/MH4G-Bug_Icon_Yellow.png
Dracophage Bug,Insects,4,500,99,Send Meownster Hunters to the Wetlands,https://static.wikia.nocookie.net/monsterhunter/images/a/a0/MH4G-Bug_Icon_Grey.png
Larval Extract,Kinsect Nectar,5,240,99,Gather nectar plants in most areas,https://static.wikia.nocookie.net/monsterhunter/images/a/ac/MH4G-Nectar_Icon_Red.png
Paralarval Extract,Kinsect Nectar,6,320,99,Gather nectar plants in most High-rank areas,https://static.wikia.nocookie.net/monsterhunter/images/b/b0/MH4G-Nectar_Icon_Blue.png
Power Jelly,Kinsect Nectar,4,100,99,"Gather nectar plants in Jurassic Frontier, Arctic Ridge, Deserted Island, and Primal Forest",https://static.wikia.nocookie.net/monsterhunter/images/a/ac/MH4G-Nectar_Icon_Pink.png
Heavy Jelly,Kinsect Nectar,4,100,99,"Gather nectar plants in Jurassic Frontier, Misty Peaks, Dunes, Volcano, Desert, and Jungle",https://static.wikia.nocookie.net/monsterhunter/images/0/07/MH4G-Nectar_Icon_Orange.png
Speed Jelly,Kinsect Nectar,4,100,99,"Gather nectar plants in Jurassic Frontier, Verdant Hills, Marshlands, and Ancestral Steppe",https://static.wikia.nocookie.net/monsterhunter/images/1/1a/MH4G-Nectar_Icon_White.png
Fire Ambrosia,Kinsect Nectar,4,100,99,"Gather nectar plants in Dunes, Volcanic Hollow, Primal Forest, Desert, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/a/ac/MH4G-Nectar_Icon_Red.png
Water Ambrosia,Kinsect Nectar,4,100,99,"Gather nectar plants in Misty Peaks, Deserted Island, Frozen Seaway, Jungle, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/b/b0/MH4G-Nectar_Icon_Blue.png
Thunder Ambrosia,Kinsect Nectar,4,100,99,"Gather nectar plants in Dunes, Volcanic Hollow, Primal Forest, Desert, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/9/97/MH4G-Nectar_Icon_Yellow.png
Ice Ambrosia,Kinsect Nectar,4,100,99,"Gather nectar plants in Arctic Ridge, Frozen Seaway, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/0/0f/MH4G-Nectar_Icon_Light_Blue.png
Dragon Ambrosia,Kinsect Nectar,4,100,99,"Gather nectar plants in Volcano, Volcanic Hollow, and Ruined Pinnacle",https://static.wikia.nocookie.net/monsterhunter/images/2/21/MH4G-Nectar_Icon_Purple.png
Power Jelly+,Kinsect Nectar,5,240,99,Combine Power Jelly and Larval Extract,https://static.wikia.nocookie.net/monsterhunter/images/a/ac/MH4G-Nectar_Icon_Pink.png
Heavy Jelly+,Kinsect Nectar,5,240,99,Combine Heavy Jelly and Larval Extract,https://static.wikia.nocookie.net/monsterhunter/images/0/07/MH4G-Nectar_Icon_Orange.png
Speed Jelly+,Kinsect Nectar,5,240,99,Combine Speed Jelly and Larval Extract,https://static.wikia.nocookie.net/monsterhunter/images/1/1a/MH4G-Nectar_Icon_White.png
Power Jelly++,Kinsect Nectar,5,240,99,Combine Power Jelly and Paralarval Extract,https://static.wikia.nocookie.net/monsterhunter/images/a/ac/MH4G-Nectar_Icon_Pink.png
Heavy Jelly++,Kinsect Nectar,5,240,99,Combine Heavy Jelly and Paralarval Extract,https://static.wikia.nocookie.net/monsterhunter/images/0/07/MH4G-Nectar_Icon_Orange.png
Speed Jelly++,Kinsect Nectar,5,240,99,Combine Speed Jelly and Paralarval Extract,https://static.wikia.nocookie.net/monsterhunter/images/1/1a/MH4G-Nectar_Icon_White.png
Fire Ambrosia+,Kinsect Nectar,5,240,99,Combine Fire Ambrosia and Larval Extract,https://static.wikia.nocookie.net/monsterhunter/images/a/ac/MH4G-Nectar_Icon_Red.png
Water Ambrosia+,Kinsect Nectar,5,240,99,Combine Water Ambrosia and Larval Extract,https://static.wikia.nocookie.net/monsterhunter/images/b/b0/MH4G-Nectar_Icon_Blue.png
Thunder Ambrosia+,Kinsect Nectar,5,240,99,Combine Thunder Ambrosia and Larval Extract,https://static.wikia.nocookie.net/monsterhunter/images/9/97/MH4G-Nectar_Icon_Yellow.png
Ice Ambrosia+,Kinsect Nectar,5,240,99,Combine Ice Ambrosia and Larval Extract,https://static.wikia.nocookie.net/monsterhunter/images/0/0f/MH4G-Nectar_Icon_Light_Blue.png
Dragon Ambrosia+,Kinsect Nectar,5,240,99,Combine Dragon Ambrosia and Larval Extract,https://static.wikia.nocookie.net/monsterhunter/images/2/21/MH4G-Nectar_Icon_Purple.png
Douse Ambrosia,Kinsect Nectar,5,180,99,Combine Fire Ambrosia and Burnt Meat,https://static.wikia.nocookie.net/monsterhunter/images/7/75/FourthGen-Nectar_Icon_Dark_Red.png
Drought Ambrosia,Kinsect Nectar,5,180,99,Combine Water Ambrosia and Burnt Meat,https://static.wikia.nocookie.net/monsterhunter/images/c/c3/FourthGen-Nectar_Icon_Dark_Blue.png
Resistor Ambrosia,Kinsect Nectar,5,180,99,Combine Thunder Ambrosia and Burnt Meat,https://static.wikia.nocookie.net/monsterhunter/images/0/04/MH4G-Nectar_Icon_Brown.png
Melt Ambrosia,Kinsect Nectar,5,180,99,Combine Ice Ambrosia and Burnt Meat,https://static.wikia.nocookie.net/monsterhunter/images/9/9a/MH4G-Nectar_Icon_Teal.png
De-wyrm Ambrosia,Kinsect Nectar,5,180,99,Combine Dragon Ambrosia and Burnt Meat,https://static.wikia.nocookie.net/monsterhunter/images/2/2c/FourthGen-Nectar_Icon_Dark_Purple.png
Reverse Ambrosia,Kinsect Nectar,4,10,99,Trader,https://static.wikia.nocookie.net/monsterhunter/images/f/f2/MH4G-Nectar_Icon_Grey.png
Bone Husk,Bones,2,3,99,Search bone piles in many areas,https://static.wikia.nocookie.net/monsterhunter/images/3/3d/MH4G-Husk_Icon_White.png
Monster Bone S,Bones,3,10,99,Carve from multiple small monsters or search bone piles in many areas,https://static.wikia.nocookie.net/monsterhunter/images/e/ec/MH4G-Bone_Icon_Yellow.png
Monster Bone M,Bones,4,210,99,Carve from multiple small monsters,https://static.wikia.nocookie.net/monsterhunter/images/e/ec/MH4G-Bone_Icon_Yellow.png
Monster Bone L,Bones,4,440,99,Quest Rewards for many Low-rank quests,https://static.wikia.nocookie.net/monsterhunter/images/e/ec/MH4G-Bone_Icon_Yellow.png
Mystery Bone,Bones,1,1,99,Search bone piles in many areas,https://static.wikia.nocookie.net/monsterhunter/images/e/ec/MH4G-Bone_Icon_Yellow.png
Unknown Skull,Bones,4,120,99,Search bone piles in many areas,https://static.wikia.nocookie.net/monsterhunter/images/e/ec/MH4G-Bone_Icon_Yellow.png
Huge Unknown Skull,Bones,8,780,99,Search bone piles in many G-Rank areas,https://static.wikia.nocookie.net/monsterhunter/images/e/ec/MH4G-Bone_Icon_Yellow.png
Monster Bone+,Bones,4,560,99,Quest Rewards for many Low-rank and High-rank quests,https://static.wikia.nocookie.net/monsterhunter/images/e/e6/MH4G-Bone_Icon_Orange.png
Monster Keenbone,Bones,6,660,99,Quest Rewards for Many High-rank Quests,https://static.wikia.nocookie.net/monsterhunter/images/2/23/MH4G-Bone_Icon_Pink.png
Monster Hardbone,Bones,6,840,99,Quest Rewards for many High-rank quests,https://static.wikia.nocookie.net/monsterhunter/images/f/f5/MH4G-Bone_Icon_Red.png
Monster Toughbone,Bones,8,1090,99,Quest Rewards for many G-rank quests,https://static.wikia.nocookie.net/monsterhunter/images/5/5a/FourthGen-Bone_Icon_Dark_Red.png
Monster Slogbone,Bones,8,1320,99,Quest Rewards for many G-rank quests,https://static.wikia.nocookie.net/monsterhunter/images/d/d5/MH4G-Bone_Icon_Grey.png
Elder Dragon Bone,Bones,6,880,99,Quest Rewards from Elder Dragons,https://static.wikia.nocookie.net/monsterhunter/images/5/5c/MH4G-Bone_Icon_Purple.png
Lrg ElderDragon Bone,Bones,8,1500,99,Quest Rewards from G-rank Elder Dragons,https://static.wikia.nocookie.net/monsterhunter/images/5/5c/MH4G-Bone_Icon_Purple.png
Avian Finebone,Bones,6,210,99,Carve High-rank small Bird Wyverns,https://static.wikia.nocookie.net/monsterhunter/images/6/6e/MH4G-Bone_Icon_Blue.png
Avian Stoutbone,Bones,8,800,99,Carve G-rank small Bird Wyverns,https://static.wikia.nocookie.net/monsterhunter/images/4/48/MH4G-Bone_Icon_Light_Blue.png
Large Herbivore Bone,Bones,8,630,99,Carve G-rank Herbivores,https://static.wikia.nocookie.net/monsterhunter/images/f/f1/MH4G-Bone_Icon_Dark_Green.png
Brute Bone,Bones,4,20,99,"Carve Low-rank Popo, Blango, or Bullfango",https://static.wikia.nocookie.net/monsterhunter/images/f/ff/MH4G-Bone_Icon_White.png
Jumbo Bone,Bones,4,150,99,"Carve Low-rank Fanged Beasts (except Gammoth), Popo, Tetsucabra, Ceanataur, or Shogun Ceanataur",https://static.wikia.nocookie.net/monsterhunter/images/f/ff/MH4G-Bone_Icon_White.png
Stoutbone,Bones,6,600,99,"Carve High-rank Fanged Beasts (except Gammoth), Popo, Tetsucabra, Ceanataur, or Shogun Ceanataur",https://static.wikia.nocookie.net/monsterhunter/images/f/ff/MH4G-Bone_Icon_White.png
Massive Bone,Bones,8,1200,99,Carve G-rank Fanged Beasts (except Gammoth) or Tetsucabra,https://static.wikia.nocookie.net/monsterhunter/images/f/ff/MH4G-Bone_Icon_White.png
Dragonbone Relic,Bones,6,600,99,Search bone piles in High-rank,https://static.wikia.nocookie.net/monsterhunter/images/f/ff/MH4G-Bone_Icon_White.png
Dragonbone Artifact,Bones,8,1500,99,Search bone piles in G-rank,https://static.wikia.nocookie.net/monsterhunter/images/a/a6/MH4G-Bone_Icon_Brown.png
Irregular Bone,Bones,6,660,99,Quest reward from Deviant quests,https://static.wikia.nocookie.net/monsterhunter/images/f/ff/MH4G-Bone_Icon_White.png
Irregular Stoutbone,Bones,7,880,99,Quest reward from Lv5 or higher Deviant quests,https://static.wikia.nocookie.net/monsterhunter/images/f/ff/MH4G-Bone_Icon_White.png
Irregular Slogbone,Bones,9,1140,99,Quest reward from LvG3 or higher G-rank Deviant quests,https://static.wikia.nocookie.net/monsterhunter/images/f/ff/MH4G-Bone_Icon_White.png
Wyvern Fang,Bones,3,6,50,Quest reward from many quests,https://static.wikia.nocookie.net/monsterhunter/images/e/e4/MH4G-Claw_Icon_White.png
Wyvern Claw,Bones,3,18,50,Quest reward from many quests,https://static.wikia.nocookie.net/monsterhunter/images/e/e4/MH4G-Claw_Icon_White.png
Screamer Sac,Sacs & Fluids,4,15,99,"Carve Velocidrome, Yian Kut-Ku, and Giadrome",https://static.wikia.nocookie.net/monsterhunter/images/1/13/MH4G-Sac_Icon_Grey.png
Poison Sac,Sacs & Fluids,4,96,99,Carve Low-rank Iodrome and Gypceros,https://static.wikia.nocookie.net/monsterhunter/images/b/bd/MH4G-Sac_Icon_Purple.png
Toxin Sac,Sacs & Fluids,6,288,99,"Carve High-rank Iodrome, Gypceros, and Basarios",https://static.wikia.nocookie.net/monsterhunter/images/b/bd/MH4G-Sac_Icon_Purple.png
Deadly Poison Sac,Sacs & Fluids,8,864,99,"Carve G-rank Iodrome, Gypceros, and Basarios",https://static.wikia.nocookie.net/monsterhunter/images/b/bd/MH4G-Sac_Icon_Purple.png
Paralysis Sac,Sacs & Fluids,4,120,99,"Carve Low-rank Gendrome, Volvidon, and Najarala",https://static.wikia.nocookie.net/monsterhunter/images/b/b5/MH4G-Sac_Icon_Yellow.png
Omniplegia Sac,Sacs & Fluids,6,360,99,"Carve High-rank Gendrome, Volvidon, and Najarala",https://static.wikia.nocookie.net/monsterhunter/images/b/b5/MH4G-Sac_Icon_Yellow.png
Ultraplegia Sac,Sacs & Fluids,8,1080,99,"Carve G-rank Gendrome, Volvidon, and Najarala",https://static.wikia.nocookie.net/monsterhunter/images/b/b5/MH4G-Sac_Icon_Yellow.png
Sleep Sac,Sacs & Fluids,4,230,99,Carve Low-rank Malfestio,https://static.wikia.nocookie.net/monsterhunter/images/1/1f/MH4G-Sac_Icon_Blue.png
Coma Sac,Sacs & Fluids,6,690,99,"Carve High-rank Malfestio, Gravios, or Nerscylla",https://static.wikia.nocookie.net/monsterhunter/images/1/1f/MH4G-Sac_Icon_Blue.png
Torpor Sac,Sacs & Fluids,8,2070,99,"Carve G-rank Malfestio, Gravios, or Nerscylla",https://static.wikia.nocookie.net/monsterhunter/images/1/1f/MH4G-Sac_Icon_Blue.png
Flame Sac,Sacs & Fluids,4,240,99,Reward from Low-rank Yian Garuga or carve Low-rank Yian Kut-Ku and any of the Rath species,https://static.wikia.nocookie.net/monsterhunter/images/1/15/MH4G-Sac_Icon_Red.png
Inferno Sac,Sacs & Fluids,6,720,99,"Reward from High-rank Yian Garuga or carve High-rank Yian Kut-Ku, Gravios, and any of the Rath species",https://static.wikia.nocookie.net/monsterhunter/images/1/15/MH4G-Sac_Icon_Red.png
Conflagrant Sac,Sacs & Fluids,8,1920,99,"Reward from G-rank Yian Garuga or carve G-Rank Yian Kut-Ku or Gravios, and any of the Rath species",https://static.wikia.nocookie.net/monsterhunter/images/1/15/MH4G-Sac_Icon_Red.png
Electro Sac,Sacs & Fluids,4,480,99,Carve or Capture Low-rank Khezu,https://static.wikia.nocookie.net/monsterhunter/images/b/b5/MH4G-Sac_Icon_Yellow.png
Thunder Sac,Sacs & Fluids,6,960,99,Carve or Capture High-rank Khezu,https://static.wikia.nocookie.net/monsterhunter/images/b/b5/MH4G-Sac_Icon_Yellow.png
Lightning Sac,Sacs & Fluids,8,2400,99,Carve or Capture G-rank Khezu,https://static.wikia.nocookie.net/monsterhunter/images/b/b5/MH4G-Sac_Icon_Yellow.png
Freezer Sac,Sacs & Fluids,6,870,99,Carve or Capture High-rank Zamtrios and Barioth,https://static.wikia.nocookie.net/monsterhunter/images/8/82/MH4G-Sac_Icon_White.png
Cryo Sac,Sacs & Fluids,8,1200,99,Carve or Capture G-rank Zamtrios and Barioth,https://static.wikia.nocookie.net/monsterhunter/images/8/82/MH4G-Sac_Icon_White.png
Aqua Sac,Sacs & Fluids,4,170,99,Carve or Capture Low-rank Royal Ludroth,https://static.wikia.nocookie.net/monsterhunter/images/c/c7/MH4G-Sac_Icon_Light_Blue.png
Torrent Sac,Sacs & Fluids,6,510,99,"Carve or Capture High-rank Royal Ludroth, Seltas, Seltas Queen, and Kecha Wacha",https://static.wikia.nocookie.net/monsterhunter/images/c/c7/MH4G-Sac_Icon_Light_Blue.png
Flood Sac,Sacs & Fluids,8,1020,99,"Carve or Capture G-rank Royal Ludroth, Seltas, Seltas Queen, and Kecha Wacha",https://static.wikia.nocookie.net/monsterhunter/images/c/c7/MH4G-Sac_Icon_Light_Blue.png
Dash Extract,Sacs & Fluids,4,56,20,Carve or Capture Gypceros and Royal Ludroth,https://static.wikia.nocookie.net/monsterhunter/images/c/c7/MH4G-Medicine_Icon_Yellow.png
Pale Extract,Sacs & Fluids,4,122,20,Carve or Capture Khezu,https://static.wikia.nocookie.net/monsterhunter/images/2/26/MH4G-Medicine_Icon_White.png
Monster Fluid,Sacs & Fluids,4,500,99,Carve Low-rank Neopterons,https://static.wikia.nocookie.net/monsterhunter/images/2/2d/MH4G-Medicine_Icon_Light_Blue.png
Monster Broth,Sacs & Fluids,6,1000,99,Carve High-rank Neopterons and Temnocerans,https://static.wikia.nocookie.net/monsterhunter/images/c/c9/MH4G-Medicine_Icon_Blue.png
Monster Essence,Sacs & Fluids,8,2000,99,Carve G-rank Neopterons and Temnocerans,https://static.wikia.nocookie.net/monsterhunter/images/c/c9/MH4G-Medicine_Icon_Blue.png
Elder Dragon Blood,Sacs & Fluids,4,1500,99,Reward from Low-rank Elder Dragons,https://static.wikia.nocookie.net/monsterhunter/images/1/1f/MH4G-Medicine_Icon_Red.png
Pure Dragon Blood,Sacs & Fluids,6,4500,99,Reward from High-rank Elder Dragons,https://static.wikia.nocookie.net/monsterhunter/images/1/1f/MH4G-Medicine_Icon_Red.png
Viscous Dragon Blood,Sacs & Fluids,8,13500,99,Reward from G-rank Elder Dragons,https://static.wikia.nocookie.net/monsterhunter/images/f/fb/FourthGen-Medicine_Icon_Dark_Red.png
Hyper Extract,Hyper,6,1000,10,High-rank Hyper Monster quests,https://static.wikia.nocookie.net/monsterhunter/images/3/35/FourthGen-Medicine_Icon_Dark_Purple.png
Potent Hyper Extract,Hyper,8,3000,99,G-rank Hyper Monster quests,https://static.wikia.nocookie.net/monsterhunter/images/f/fb/FourthGen-Medicine_Icon_Dark_Red.png
Hyper Fang,Hyper,6,1200,99,"High-rank Hyper Blangonga, Lavasioth, Najarala, Nargacuga, Tetsucabra, or Zamtrios quests",https://static.wikia.nocookie.net/monsterhunter/images/3/3e/FourthGen-Claw_Icon_Dark_Purple.png
Hyper Fang+,Hyper,6,2400,99,"High-rank Hyper Deviljho, Gammoth, Glavenus, orTigrex quests",https://static.wikia.nocookie.net/monsterhunter/images/3/3e/FourthGen-Claw_Icon_Dark_Purple.png
Hyper Heavyfang,Hyper,8,3600,99,G-rank Hyper Tetsucabra quest,https://static.wikia.nocookie.net/monsterhunter/images/7/71/FourthGen-Claw_Icon_Dark_Red.png
Hyper Keenfang,Hyper,8,4800,99,"G-rank Hyper Blangonga, Congalala, Lavasioth, Najarala, Nargacuga, or Zamtrios quests",https://static.wikia.nocookie.net/monsterhunter/images/7/71/FourthGen-Claw_Icon_Dark_Red.png
Hyper Solidfang,Hyper,8,7200,99,"G-rank Hyper Barioth, Deviljho, Diablos, Gammoth, Glavenus, or Tigrex quests",https://static.wikia.nocookie.net/monsterhunter/images/7/71/FourthGen-Claw_Icon_Dark_Red.png
Hyper Claw,Hyper,6,1200,99,"High-rank Hyper Daimyo Hermitaur, Kecha Wacha, Malfestio, Nibelsnarf, Rathian, Royal Ludroth, Shogun Ceanataur, or Tetsucabra quests",https://static.wikia.nocookie.net/monsterhunter/images/3/3e/FourthGen-Claw_Icon_Dark_Purple.png
Hyper Claw+,Hyper,6,2400,99,"High-rank Hyper Agnaktor, Gore Magala, Lagiacrus, Mizutsune, Seltas Queen, Seregios, Rathalos, or Tigrex quests",https://static.wikia.nocookie.net/monsterhunter/images/3/3e/FourthGen-Claw_Icon_Dark_Purple.png
Hyper Heavyclaw,Hyper,8,3600,99,"G-rank Hyper Daimyo Hermitaur, Kecha Wacha, Royal Ludroth, or Tetsucabra quests",https://static.wikia.nocookie.net/monsterhunter/images/7/71/FourthGen-Claw_Icon_Dark_Red.png
Hyper Keenclaw,Hyper,8,4800,99,"G-rank Hyper Barroth, Congalala, Malfestio, Nerscylla, Nibelsnarf, Rathian, or Shogun Ceanataur quests",https://static.wikia.nocookie.net/monsterhunter/images/7/71/FourthGen-Claw_Icon_Dark_Red.png
Hyper Solidclaw,Hyper,8,7200,99,"G-rank Hyper Agnaktor, Gore Magala, Lagiacrus, Mizutsune, Seltas Queen, Seregios, Rathalos, or Tigrex quests",https://static.wikia.nocookie.net/monsterhunter/images/7/71/FourthGen-Claw_Icon_Dark_Red.png
Hyper Monster Bone,Hyper,6,1200,99,"High-rank Hyper Brachydios, Daimyo Hermitaur, Duramboros, Gypceros, Khezu, Nargacuga, Shogun Ceanataur, Yian Garuga, or Yian Kut-Ku quests",https://static.wikia.nocookie.net/monsterhunter/images/6/68/FourthGen-Bone_Icon_Dark_Purple.png
Hyper MnstrToughbone,Hyper,8,3600,99,"G-rank Hyper Barroth, Daimyo Hermitaur, Gypceros, Khezu, Nargacuga, Shogun Ceanataur, or Yian Kut-Ku quests",https://static.wikia.nocookie.net/monsterhunter/images/5/5a/FourthGen-Bone_Icon_Dark_Red.png
Hyper MnstrSlogbone,Hyper,8,7200,99,"G-rank Hyper Brachydios, Duramboros, Glavenus, or Seregios quests",https://static.wikia.nocookie.net/monsterhunter/images/5/5a/FourthGen-Bone_Icon_Dark_Red.png
Hyper Horn+,Hyper,6,2400,99,"High-rank Hyper Astalos, Duramboros, Gore Magala, Lagiacrus, Rajang, Seregios, or Zinogre quests",https://static.wikia.nocookie.net/monsterhunter/images/3/3e/FourthGen-Claw_Icon_Dark_Purple.png
Hyper Hardhorn,Hyper,8,7200,99,"G-rank Hyper Astalos, Diablos, Duramboros, Rajang, Seregios, or Zinogre quests. Also obtainable from subquest of ""Setting the Barioth High""",https://static.wikia.nocookie.net/monsterhunter/images/7/71/FourthGen-Claw_Icon_Dark_Red.png
Hyper Flame Sac,Hyper,6,1500,99,"High-rank Hyper Rathalos, Silver Rathalos, Rathian, Gold Rathian, Yian Garuga, or Yian Kut-Ku quests",https://static.wikia.nocookie.net/monsterhunter/images/c/cf/FourthGen-Sac_Icon_Dark_Purple.png
Hyper Conflagrant Sac,Hyper,8,4500,99,"G-rank Hyper Basarios, Gravios, Rathalos, Silver Rathalos, Rathian, Gold Rathian, Yian Garuga, or Yian Kut-Ku quests",https://static.wikia.nocookie.net/monsterhunter/images/a/a3/FourthGen-Sac_Icon_Dark_Red.png
Hyper Pyroscale,Hyper,6,1500,99,"High-rank Hyper Agnaktor, Glavenus, Lavasioth, Uragaan, or Yian Kut-Ku quests",https://static.wikia.nocookie.net/monsterhunter/images/e/e7/FourthGen-Scale_Icon_Dark_Purple.png
Hyper Flarescale,Hyper,8,4500,99,"G-rank Hyper Agnaktor, Glavenus, Lavasioth, Uragaan, or Yian Garuga quests",https://static.wikia.nocookie.net/monsterhunter/images/0/09/FourthGen-Scale_Icon_Dark_Red.png
Hyper Aqua Sac,Hyper,6,1500,99,"High-rank Hyper Kecha Wacha, Royal Ludroth, or Seltas Queen quests",https://static.wikia.nocookie.net/monsterhunter/images/c/cf/FourthGen-Sac_Icon_Dark_Purple.png
Hyper Flood Sac,Hyper,8,4500,99,"G-rank Hyper Kecha Wacha, Royal Ludroth, or Seltas Queen quests",https://static.wikia.nocookie.net/monsterhunter/images/a/a3/FourthGen-Sac_Icon_Dark_Red.png
Hyper Fluid,Hyper,6,1500,99,"High-rank Hyper Nibelsnarf, Mizutsune, Plesioth, orRoyal Ludroth quests",https://static.wikia.nocookie.net/monsterhunter/images/3/35/FourthGen-Medicine_Icon_Dark_Purple.png
Hyper Viscous Fluid,Hyper,8,4500,99,"G-rank Hyper Nibelsnarf, Mizutsune, Plesioth, orRoyal Ludroth quests",https://static.wikia.nocookie.net/monsterhunter/images/f/fb/FourthGen-Medicine_Icon_Dark_Red.png
Hyper Thunder Sac,Hyper,6,1500,99,High-rank Hyper Khezu quests,https://static.wikia.nocookie.net/monsterhunter/images/c/cf/FourthGen-Sac_Icon_Dark_Purple.png
Hyper Lightning Sac,Hyper,8,4500,99,G-rank Hyper Khezu quests,https://static.wikia.nocookie.net/monsterhunter/images/a/a3/FourthGen-Sac_Icon_Dark_Red.png
Hyper Charged Shell,Hyper,6,1500,99,High-rank Hyper Astalos or Lagiacrus quests,https://static.wikia.nocookie.net/monsterhunter/images/5/5d/FourthGen-Carapace_Icon_Dark_Purple.png
Hyper Amped Shell,Hyper,8,4500,99,"G-rank Hyper Astalos or Lagiacrus quests. Also obtainable from subquest of ""Setting the Barioth High""",https://static.wikia.nocookie.net/monsterhunter/images/0/0f/FourthGen-Carapace_Icon_Dark_Red.png
Hyper Shockfur,Hyper,6,1500,99,High-rank Hyper Rajang or Zinogre quests,https://static.wikia.nocookie.net/monsterhunter/images/8/88/FourthGen-Monster_Parts_Icon_Dark_Purple.png
Hyper Fluxfur,Hyper,8,4500,99,G-rank Hyper Rajang or Zinogre quests,https://static.wikia.nocookie.net/monsterhunter/images/b/be/FourthGen-Monster_Parts_Icon_Dark_Red.png
Hyper Ice Block,Hyper,6,1500,99,"High-rank Hyper Blangonga, Gammoth, or Zamtrios quests",https://static.wikia.nocookie.net/monsterhunter/images/c/c7/FourthGen-Ore_Icon_Dark_Purple.png
Hyper Ice Chunk,Hyper,8,4500,99,"G-rank Hyper Barioth, Blangonga, Gammoth, or Zamtrios quests",https://static.wikia.nocookie.net/monsterhunter/images/a/a0/FourthGen-Ore_Icon_Dark_Red.png
